Date,Open,High,Low,Close,Adj Close,Volume
2010-03-18,412.443481,412.443481,404.679840,405.407684,290.369202,98821
2010-03-19,408.464600,408.561646,397.886627,400.118683,286.581085,211716
2010-03-22,396.916199,404.582794,394.004822,398.857086,285.677429,286685
2010-03-23,406.572205,417.780975,400.846527,413.559479,296.207916,490322
2010-03-25,416.325287,424.574158,409.677673,418.945526,300.065582,434569
2010-03-26,425.059387,426.806213,408.658691,411.230408,294.539734,347405
2010-03-29,411.958252,411.958252,401.914032,403.612335,289.083313,269774
2010-03-30,405.650299,415.354828,403.224152,410.599609,294.087921,152771
2010-03-31,415.257782,415.354828,407.688232,412.200867,295.234772,77394
2010-04-01,414.821075,414.821075,406.620728,410.454041,293.983673,145760
2010-04-05,413.899139,425.593140,411.181885,423.797791,303.540924,244690
2010-04-06,429.814606,441.557129,423.118469,434.860992,311.464905,363831
2010-04-07,436.850433,452.668854,436.704865,449.272247,321.786774,537079
2010-04-08,451.067596,455.143494,441.557129,444.614075,318.450409,493443
2010-04-09,447.865082,458.443054,445.438934,452.620331,324.184875,538979
2010-04-12,456.113953,464.508392,447.670990,449.320770,321.821503,437004
2010-04-13,451.164642,454.173035,439.955872,442.721680,317.095062,382821
2010-04-15,455.725769,458.346008,443.886230,454.173035,325.296967,610911
2010-04-16,455.143494,473.970337,454.124512,469.409180,336.209625,714165
2010-04-19,465.818512,481.248749,463.877594,471.398621,337.634583,613401
2010-04-20,475.523071,502.744324,473.679199,497.649445,356.436493,1316130
2010-04-21,506.577637,510.362396,495.417389,506.480591,362.761688,723546
2010-04-22,502.695801,517.349670,501.725342,506.868774,363.039703,1171872
2010-04-23,511.623993,514.341248,491.244446,495.805573,355.115845,1121498
2010-04-26,495.902618,513.758972,495.902618,502.647278,360.016144,794656
2010-04-27,506.577637,514.341248,498.959564,500.269653,358.313202,668457
2010-04-28,485.615784,521.522644,485.615784,506.771729,362.970276,2707274
2010-04-29,512.400330,526.957214,509.731598,524.191406,375.446930,1641519
2010-04-30,524.191406,528.412842,513.176697,517.786377,370.859344,588753
2010-05-03,521.134460,530.596375,520.455139,525.841187,376.628540,910989
2010-05-04,531.712402,547.919006,525.161865,537.195496,384.760986,1706112
2010-05-05,527.927612,552.577209,527.927612,539.184937,386.185913,1529169
2010-05-06,541.902222,564.222656,534.090027,558.885193,400.296021,1036832
2010-05-07,554.129944,559.952637,520.455139,530.693420,380.103882,1845196
2010-05-10,542.387451,545.783997,525.986755,532.440247,381.355072,1442371
2010-05-11,533.750366,533.750366,488.672729,494.010223,353.829926,1483491
2010-05-12,499.784454,509.391937,463.004181,475.328979,340.449646,2353387
2010-05-13,482.510345,508.518524,474.746704,495.077728,354.594574,3913216
2010-05-14,504.151489,505.558655,485.470215,488.333069,349.763733,1773667
2010-05-17,485.179077,528.121704,484.063080,521.328552,373.396393,1419904
2010-05-18,527.927612,533.556274,511.526947,524.822205,375.898743,1737961
2010-05-19,528.898071,560.389343,483.529327,510.022736,365.298767,9737408
2010-05-20,512.400330,560.923096,511.963654,553.256531,396.264587,6578160
2010-05-21,548.307190,582.176086,473.630676,487.896362,349.450958,28835280
2010-05-24,494.932159,500.027069,467.177155,477.852142,342.256836,10861923
2010-05-25,474.358521,489.885803,469.215088,485.179077,347.504730,5524585
2010-05-26,490.565125,522.590149,490.565125,518.611267,371.450165,9080400
2010-05-27,520.164001,520.552185,494.058746,496.873077,355.880402,4484525
2010-05-28,503.666260,505.510132,481.831024,489.255005,350.424042,2715476
2010-05-31,491.050354,501.191589,486.198059,499.008087,357.409576,1487475
2010-06-01,497.843536,500.754883,486.295105,492.457489,352.717834,1651636
2010-06-02,495.902618,504.442627,494.932159,499.202179,357.548676,1836409
2010-06-03,500.754883,510.944672,499.784454,503.035461,360.294220,1272028
2010-06-04,506.577637,507.548096,493.670563,498.522858,357.062073,917796
2010-06-07,485.324646,493.961700,475.717163,488.284546,349.729004,640073
2010-06-08,490.079895,493.864655,477.463959,481.054657,344.550598,611899
2010-06-09,481.345795,487.168518,470.816345,474.698181,339.997833,1126009
2010-06-10,475.523071,485.227600,472.029419,481.054657,344.550598,829389
2010-06-11,481.345795,489.837280,479.453400,484.014557,346.670593,777416
2010-06-14,461.208832,489.109436,461.208832,486.101013,348.165100,995953
2010-06-15,483.577850,487.605225,477.027252,483.238190,346.114532,716902
2010-06-16,487.168518,487.168518,474.746704,476.493500,341.283722,493930
2010-06-17,482.267731,483.286713,472.320557,474.115906,339.580780,552220
2010-06-18,474.455566,480.326813,470.719299,473.193970,338.920502,359729
2010-06-21,479.404877,480.666473,473.776245,476.008301,340.936218,346850
2010-06-22,475.523071,487.847839,470.719299,477.172821,341.770325,752959
2010-06-23,480.181244,482.558868,475.134888,476.202393,341.075256,447269
2010-06-24,473.679199,493.185333,473.679199,487.847839,349.416138,1543408
2010-06-25,490.079895,490.079895,477.561005,478.968170,343.056183,777450
2010-06-28,483.092621,486.392151,477.027252,479.987152,343.786072,725934
2010-06-29,477.172821,480.084198,468.050568,470.137024,340.447968,463224
2010-06-30,466.788971,477.269867,463.004181,466.546356,337.847809,937809
2010-07-01,465.818512,469.603271,462.907135,467.904999,338.831665,766116
2010-07-02,468.244659,479.890106,465.139191,474.455566,343.575226,485596
2010-07-05,480.375336,487.556702,473.582153,486.440674,352.254150,450619
2010-07-06,487.168518,499.299225,487.168518,491.147400,355.662598,1248830
2010-07-07,491.632629,494.349884,483.286713,485.712830,351.727173,328662
2010-07-08,487.265564,491.923767,482.316254,484.693848,350.989227,269043
2010-07-09,485.227600,500.948975,485.227600,496.921600,359.843964,1592776
2010-07-12,502.695801,509.488983,490.565125,492.991241,356.997803,712232
2010-07-13,494.835114,500.269653,492.117859,496.290802,359.387115,650226
2010-07-14,504.636719,509.488983,485.227600,488.963867,354.081390,1011253
2010-07-15,488.090454,495.368866,488.090454,492.360443,356.540985,409893
2010-07-16,492.020813,495.708527,488.236023,489.546143,354.503021,140531
2010-07-19,490.079895,490.079895,480.520905,487.847839,353.273193,147879
2010-07-20,488.138977,491.244446,480.714996,483.771942,350.321594,219157
2010-07-21,485.227600,490.079895,485.227600,488.236023,353.554291,185279
2010-07-22,488.138977,491.050354,484.257172,489.352051,354.362396,207881
2010-07-23,485.227600,490.079895,467.128632,479.744537,347.405243,180041
