Date,Open,High,Low,Close,Adj Close,Volume
2010-03-18,156.399994,157.190002,154.830002,156.029999,125.458351,2128960
2010-03-19,156.559998,157.339996,155.270004,156.740005,126.029259,1897920
2010-03-22,154.979996,156.500000,151.610001,152.000000,122.217964,2108015
2010-03-23,152.399994,154.190002,147.209991,147.809998,118.848930,5264140
2010-03-25,146.800003,147.600006,142.899994,145.050003,116.629730,4816445
2010-03-26,145.800003,151.449997,145.600006,149.929993,120.553558,6117340
2010-03-29,150.740005,152.000000,147.029999,147.929993,118.945435,4207225
2010-03-30,149.199997,151.949997,148.399994,151.259995,121.622963,4189805
2010-03-31,152.000000,153.339996,150.399994,151.139999,121.526474,3082955
2010-04-01,151.000000,156.000000,151.000000,155.179993,124.774902,3071005
2010-04-05,157.979996,157.979996,153.619995,156.169998,125.570930,2677230
2010-04-06,156.600006,156.979996,153.619995,154.860001,124.517601,2160840
2010-04-07,154.800003,159.270004,154.800003,158.610001,127.532845,3406955
2010-04-08,158.479996,158.600006,154.220001,154.789993,124.461311,2117080
2010-04-09,155.800003,162.940002,155.800003,161.770004,130.073715,5763615
2010-04-12,162.199997,162.199997,156.000000,156.529999,125.860397,3467320
2010-04-13,155.000000,157.000000,152.209991,154.929993,124.573883,8530165
2010-04-15,156.600006,159.520004,154.440002,155.139999,124.742744,3339625
2010-04-16,156.000000,157.800003,154.399994,156.929993,126.182014,4550230
2010-04-19,154.619995,155.880005,152.699997,155.089996,124.702522,2626510
2010-04-20,155.240005,159.779999,155.100006,158.399994,127.364006,3806365
2010-04-21,159.940002,162.399994,158.610001,161.830002,130.121933,3680895
2010-04-22,160.720001,170.800003,160.639999,167.229996,134.463898,10872855
2010-04-23,169.000000,169.899994,165.529999,168.919998,135.822769,5169710
2010-04-26,169.959991,172.160004,169.000000,170.149994,136.811768,2975010
2010-04-27,169.800003,170.979996,168.679993,169.369995,136.184586,3395325
2010-04-28,166.000000,168.729996,163.819992,164.289993,132.099945,3580275
2010-04-29,166.000000,169.880005,164.419998,168.569992,135.541336,3874900
2010-04-30,169.399994,175.580002,169.399994,174.569992,140.365723,6671770
2010-05-03,174.300003,176.440002,169.600006,171.110001,137.583679,4369115
2010-05-04,173.000000,173.860001,167.800003,168.440002,135.436813,4155290
2010-05-05,166.000000,168.419998,163.309998,167.130005,134.383484,3797900
2010-05-06,166.399994,166.869995,161.630005,162.919998,130.998383,4780715
2010-05-07,160.199997,160.490005,151.309998,152.500000,122.620026,4911715
2010-05-10,156.000000,163.399994,154.399994,162.750000,130.861679,3855120
2010-05-11,164.000000,164.199997,158.940002,159.899994,128.570099,4375785
2010-05-12,160.199997,162.279999,158.240005,160.550003,129.092728,3412735
2010-05-13,162.199997,167.100006,162.199997,166.220001,133.651794,4908245
2010-05-14,165.919998,166.300003,162.220001,163.149994,131.183304,2489450
2010-05-17,161.600006,162.000000,155.279999,157.789993,126.873528,3515175
2010-05-18,159.000000,159.000000,153.240005,154.309998,124.075371,4137540
2010-05-19,152.779999,153.000000,141.330002,142.899994,114.900963,7356150
2010-05-20,144.000000,146.399994,139.220001,142.419998,114.515030,7051420
2010-05-21,137.959991,142.959991,135.020004,142.059998,114.225563,7639740
2010-05-24,143.000000,147.990005,140.319992,141.319992,113.630554,4762310
2010-05-25,139.959991,139.959991,134.000000,134.740005,108.339813,5648225
2010-05-26,136.839996,142.679993,135.819992,141.850006,114.056717,6135310
2010-05-27,142.319992,149.979996,140.809998,148.580002,119.468079,7387410
2010-05-28,150.000000,154.800003,148.720001,149.600006,120.288216,8147925
2010-05-31,150.839996,152.880005,148.259995,150.929993,121.357605,4775275
2010-06-01,149.000000,151.699997,144.419998,145.130005,116.694054,5210025
2010-06-02,145.800003,149.589996,145.240005,148.910004,119.733421,6606000
2010-06-03,150.199997,154.360001,150.199997,153.459991,123.391907,5058825
2010-06-04,152.000000,155.000000,151.110001,154.399994,124.147728,4038255
2010-06-07,152.000000,152.000000,146.850006,147.839996,118.873062,4044610
2010-06-08,147.699997,151.199997,146.229996,147.229996,118.382568,5555170
2010-06-09,147.000000,148.940002,144.679993,145.619995,117.088043,8874015
2010-06-10,146.800003,152.559998,146.000000,151.889999,122.129532,6272500
2010-06-11,154.000000,154.529999,151.619995,153.009995,123.030090,5769580
2010-06-14,154.199997,154.600006,151.000000,152.050003,122.258171,3251245
2010-06-15,152.199997,153.839996,149.929993,152.009995,122.226013,3073940
2010-06-16,154.000000,157.600006,153.389999,155.639999,125.144791,5131060
2010-06-17,155.800003,160.759995,155.600006,160.000000,128.650497,4982960
2010-06-18,160.000000,162.160004,158.600006,159.889999,128.562042,4852295
2010-06-21,162.000000,164.399994,161.169998,161.660004,129.985245,3072070
2010-06-22,161.000000,161.600006,158.459991,159.610001,128.336914,3263960
2010-06-23,159.600006,161.380005,157.449997,158.139999,127.154945,4186600
2010-06-24,159.000000,159.539993,156.440002,156.990005,126.230278,2768940
2010-06-25,156.000000,157.869995,153.229996,153.889999,123.737656,3790400
2010-06-28,155.000000,158.279999,153.000000,157.500000,126.640350,2406410
2010-06-29,157.000000,157.399994,153.059998,153.699997,123.584892,2445145
2010-06-30,152.000000,156.279999,151.839996,155.669998,125.168900,3226765
2010-07-01,154.720001,154.800003,152.080002,152.589996,122.692383,3270740
2010-07-02,152.990005,155.179993,152.630005,153.399994,123.343666,2697365
2010-07-05,152.800003,155.959991,152.240005,153.000000,123.022057,2263470
2010-07-06,152.959991,154.360001,152.000000,153.589996,123.496429,2219045
2010-07-07,153.319992,153.789993,149.709991,150.179993,120.754578,3045005
2010-07-08,152.800003,153.179993,150.929993,151.209991,121.582764,1898905
2010-07-09,152.220001,154.580002,151.679993,154.119995,123.922607,3070400
2010-07-12,155.000000,158.419998,154.899994,157.690002,126.793098,3736685
2010-07-13,158.399994,160.990005,157.339996,160.580002,129.116882,2984175
2010-07-14,161.000000,162.899994,158.860001,159.759995,128.457535,2298565
2010-07-15,160.000000,162.479996,158.330002,162.020004,130.274719,3345685
2010-07-16,162.580002,166.600006,161.600006,166.319992,133.732193,4001755
2010-07-19,164.800003,166.789993,164.399994,165.089996,132.743195,1877565
2010-07-20,165.800003,166.580002,161.779999,162.500000,130.660675,1772470
2010-07-21,163.039993,165.100006,163.039993,164.190002,132.019531,2164980
2010-07-22,163.619995,168.000000,163.259995,167.119995,134.375458,2838665
2010-07-23,168.399994,169.380005,166.509995,167.490005,134.672958,2903795
2010-07-26,167.880005,168.100006,163.279999,163.729996,131.649673,1689180
