Date,Open,High,Low,Close,Adj Close,Volume
2013-04-01,33.500000,33.759998,32.779999,32.980000,30.398413,394100
2013-04-02,33.610001,33.889999,33.599998,33.830002,31.181881,286200
2013-04-03,33.750000,33.939999,33.200001,33.380001,30.767103,275300
2013-04-04,34.340000,34.439999,33.880001,34.119999,31.449177,375200
2013-04-05,34.250000,34.400002,34.000000,34.380001,31.688829,463400
2013-04-08,34.439999,35.020000,34.389999,35.000000,32.260288,554400
2013-04-09,35.049999,35.279999,34.950001,35.049999,32.306374,305200
2013-04-10,34.889999,35.509998,34.860001,35.419998,32.647408,500600
2013-04-11,34.990002,35.099998,34.500000,34.560001,31.854734,428000
2013-04-12,34.689999,35.040001,34.450001,34.500000,31.799429,481800
2013-04-15,33.849998,34.040001,33.630001,33.650002,31.015965,137800
2013-04-16,35.220001,35.330002,34.520000,34.959999,32.223427,339800
2013-04-17,35.009998,35.270000,34.799999,35.209999,32.453850,359400
2013-04-18,35.290001,35.369999,34.860001,35.040001,32.297169,307800
2013-04-19,35.070000,35.330002,35.049999,35.330002,32.564461,179900
2013-04-22,34.970001,35.119999,34.680000,35.060001,32.315594,187900
2013-04-23,35.240002,35.389999,35.040001,35.349998,32.582897,123800
2013-04-24,35.389999,35.419998,35.180000,35.299999,32.536808,96700
2013-04-25,36.630001,36.860001,36.310001,36.430000,33.578358,234800
2013-04-26,36.430000,36.709999,36.259998,36.290001,33.449322,121500
2013-04-29,36.610001,36.840000,36.570000,36.740002,33.864090,110900
2013-04-30,37.450001,37.970001,37.320000,37.880001,34.914852,251200
2013-05-01,37.720001,37.759998,37.410000,37.430000,34.500080,96500
2013-05-02,37.299999,37.380001,37.130001,37.230000,34.315739,243600
2013-05-03,37.270000,37.650002,37.250000,37.380001,34.453991,173600
2013-05-06,37.000000,37.090000,36.650002,36.939999,34.048435,117400
2013-05-07,37.000000,37.000000,36.759998,36.820000,33.937820,177300
2013-05-08,36.830002,37.110001,36.770000,36.910000,34.020782,236600
2013-05-09,36.500000,36.820000,36.439999,36.619999,33.753483,207600
2013-05-10,36.900002,38.709999,36.900002,38.509998,35.495537,451500
2013-05-13,38.320000,38.700001,38.160000,38.459999,35.449455,245600
2013-05-14,37.400002,37.939999,37.099998,37.810001,34.850330,372900
2013-05-15,38.099998,38.619999,38.049999,38.279999,35.283543,323000
2013-05-16,38.430000,38.740002,38.410000,38.540001,35.523182,167500
2013-05-17,38.049999,38.189999,37.790001,37.930000,34.960938,123100
2013-05-20,37.340000,37.790001,37.290001,37.660000,34.712074,152000
2013-05-21,36.939999,37.000000,36.540001,36.830002,33.947052,277900
2013-05-22,37.279999,38.500000,37.279999,37.490002,34.555386,186600
2013-05-23,37.099998,37.490002,36.880001,37.320000,34.398689,211700
2013-05-24,37.340000,37.759998,37.110001,37.520000,34.583035,272600
2013-05-28,37.970001,38.139999,37.570000,37.880001,34.914852,124200
2013-05-29,37.759998,38.029999,37.720001,37.840000,34.877991,107300
2013-05-30,37.630001,37.669998,37.320000,37.360001,34.435562,63500
2013-05-31,37.240002,37.299999,36.840000,36.970001,34.076088,171200
2013-06-03,37.180000,38.099998,37.049999,38.090000,35.108414,191500
2013-06-04,38.180000,38.220001,37.779999,37.939999,34.970154,200900
2013-06-05,37.889999,37.889999,37.200001,37.330002,34.407909,153000
2013-06-06,37.349998,37.970001,37.279999,37.959999,34.988590,123700
2013-06-07,38.299999,38.730000,38.209999,38.700001,35.670666,98800
2013-06-10,37.930000,37.980000,37.610001,37.849998,34.887207,154600
2013-06-11,37.549999,37.849998,37.480000,37.700001,34.748951,174300
2013-06-12,37.959999,38.080002,37.720001,37.770000,34.813465,80100
2013-06-13,37.500000,37.799999,37.340000,37.720001,34.767384,135000
2013-06-14,37.700001,38.470001,37.689999,38.230000,35.237457,263100
2013-06-17,37.349998,37.689999,36.980000,36.980000,34.085304,258500
